dataset,factor,cost_change_pct,roi_storage_sens,name,Province,cost_change_label
counties,0.7,-30,0.03517568483515675,白朗县,西藏自治区,-30%
counties,0.7,-30,0.03236593930023737,仁布县,西藏自治区,-30%
counties,0.7,-30,0.03463327581939745,定日县,西藏自治区,-30%
counties,0.7,-30,0.035756929651675665,萨迦县,西藏自治区,-30%
counties,0.7,-30,0.03584351437766744,拉孜县,西藏自治区,-30%
counties,0.7,-30,0.03626828570979976,昂仁县,西藏自治区,-30%
counties,0.7,-30,0.04472423656186168,饶阳县,河北省,-30%
counties,0.7,-30,0.031967152923907005,南木林县,西藏自治区,-30%
counties,0.7,-30,0.04464254699017586,武强县,河北省,-30%
counties,0.7,-30,0.03445551653723793,江孜县,西藏自治区,-30%
counties,0.7,-30,0.04428149770311522,武邑县,河北省,-30%
counties,0.7,-30,0.032844675145165605,和田县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.03672245819443589,白水县,陕西省,-30%
counties,0.7,-30,0.03653260713091183,合阳县,陕西省,-30%
counties,0.7,-30,0.037066598180313784,澄城县,陕西省,-30%
counties,0.7,-30,0.03321691348242785,文山市,云南省,-30%
counties,0.7,-30,0.03137447297285448,双湖县,西藏自治区,-30%
counties,0.7,-30,0.014992883103795642,河南蒙古族自治县,青海省,-30%
counties,0.7,-30,0.01663882923861488,泽库县,青海省,-30%
counties,0.7,-30,0.014463184390568465,尖扎县,青海省,-30%
counties,0.7,-30,0.040078053552867185,望江县,安徽省,-30%
counties,0.7,-30,0.04094331524219439,岳西县,安徽省,-30%
counties,0.7,-30,0.037236647641639586,宜君县,陕西省,-30%
counties,0.7,-30,0.04876688883872681,娄烦县,山西省,-30%
counties,0.7,-30,0.03971098129640494,太湖县,安徽省,-30%
counties,0.7,-30,0.05369090106015023,青龙满族自治县,河北省,-30%
counties,0.7,-30,0.03957468612524671,宿松县,安徽省,-30%
counties,0.7,-30,0.03636521896914153,石台县,安徽省,-30%
counties,0.7,-30,0.032373531427097826,丘北县,云南省,-30%
counties,0.7,-30,0.04036196328288308,潜山市,安徽省,-30%
counties,0.7,-30,0.03204166737109916,吉隆县,西藏自治区,-30%
counties,0.7,-30,0.03592475620710749,聂拉木县,西藏自治区,-30%
counties,0.7,-30,0.03802760112549933,萨嘎县,西藏自治区,-30%
counties,0.7,-30,0.039025511786229934,岗巴县,西藏自治区,-30%
counties,0.7,-30,0.035097579378844904,康马县,西藏自治区,-30%
counties,0.7,-30,0.034695175065512805,定结县,西藏自治区,-30%
counties,0.7,-30,0.038346807488717105,仲巴县,西藏自治区,-30%
counties,0.7,-30,0.02740841712117332,亚东县,西藏自治区,-30%
counties,0.7,-30,0.03909474177136649,正镶白旗,内蒙古自治区,-30%
counties,0.7,-30,0.061369538254484414,阳原县,河北省,-30%
counties,0.7,-30,0.06156652049493614,怀安县,河北省,-30%
counties,0.7,-30,0.04227042271939731,芒市,云南省,-30%
counties,0.7,-30,0.060210108202207534,赤城县,河北省,-30%
counties,0.7,-30,0.03891423479268959,太仆寺旗,内蒙古自治区,-30%
counties,0.7,-30,0.04052001215392547,苏尼特右旗,内蒙古自治区,-30%
counties,0.7,-30,0.05428782078961066,白沙黎族自治县,海南省,-30%
counties,0.7,-30,0.06344287865941058,万全区,河北省,-30%
counties,0.7,-30,0.06072855790416402,宣化区,河北省,-30%
counties,0.7,-30,0.06228860405710216,崇礼区,河北省,-30%
counties,0.7,-30,0.043901113241382704,陇川县,云南省,-30%
counties,0.7,-30,0.0413712414849982,盈江县,云南省,-30%
counties,0.7,-30,0.04299522511247831,梁河县,云南省,-30%
counties,0.7,-30,0.02305200372013582,乌什县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.020634599778258673,柯坪县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.06735339919157522,张北县,河北省,-30%
counties,0.7,-30,0.06663702686410401,尚义县,河北省,-30%
counties,0.7,-30,0.058148843658658335,蔚县,河北省,-30%
counties,0.7,-30,0.06918797368163493,康保县,河北省,-30%
counties,0.7,-30,0.06678553379226064,沽源县,河北省,-30%
counties,0.7,-30,0.053098188249726584,延寿县,黑龙江省,-30%
counties,0.7,-30,0.021702011408197188,海原县,宁夏回族自治区,-30%
counties,0.7,-30,0.019574092418749432,天峻县,青海省,-30%
counties,0.7,-30,0.019067278688365694,都兰县,青海省,-30%
counties,0.7,-30,0.020355740725692413,乌兰县,青海省,-30%
counties,0.7,-30,0.041951147808590696,沧源佤族自治县,云南省,-30%
counties,0.7,-30,0.04192174631994213,双江拉祜族佤族布朗族傣族自治县,云南省,-30%
counties,0.7,-30,0.042559565527516205,耿马傣族佤族自治县,云南省,-30%
counties,0.7,-30,0.04043155207362702,永德县,云南省,-30%
counties,0.7,-30,0.04067036259514091,镇康县,云南省,-30%
counties,0.7,-30,0.03928120560905564,凤庆县,云南省,-30%
counties,0.7,-30,0.03919785320764316,云县,云南省,-30%
counties,0.7,-30,0.021273869184955052,德令哈市,青海省,-30%
counties,0.7,-30,0.019409392748063782,格尔木市,青海省,-30%
counties,0.7,-30,0.021682034125692834,茫崖市,青海省,-30%
counties,0.7,-30,0.0227598807853717,灵台县,甘肃省,-30%
counties,0.7,-30,0.025718982754189372,静宁县,甘肃省,-30%
counties,0.7,-30,0.015370214429080495,隆德县,宁夏回族自治区,-30%
counties,0.7,-30,0.01706830826646595,西吉县,宁夏回族自治区,-30%
counties,0.7,-30,0.01767421708097081,彭阳县,宁夏回族自治区,-30%
counties,0.7,-30,0.015234930384044379,泾源县,宁夏回族自治区,-30%
counties,0.7,-30,0.01395320467076494,乐都区,青海省,-30%
counties,0.7,-30,0.013757257769665288,平安区,青海省,-30%
counties,0.7,-30,0.054751753395146596,饶河县,黑龙江省,-30%
counties,0.7,-30,0.02368431510719859,大柴旦行政委员会,青海省,-30%
counties,0.7,-30,0.04110674272961193,临翔区,云南省,-30%
counties,0.7,-30,0.05527076747562445,五指山市,海南省,-30%
counties,0.7,-30,0.039161504057153504,宜川县,陕西省,-30%
counties,0.7,-30,0.021824783958488782,八宿县,西藏自治区,-30%
counties,0.7,-30,0.021419346186725374,左贡县,西藏自治区,-30%
counties,0.7,-30,0.022878740853612946,芒康县,西藏自治区,-30%
counties,0.7,-30,0.02041193970376421,洛隆县,西藏自治区,-30%
counties,0.7,-30,0.021880861735964686,贡觉县,西藏自治区,-30%
counties,0.7,-30,0.020857192215891183,类乌齐县,西藏自治区,-30%
counties,0.7,-30,0.01880694495075324,丁青县,西藏自治区,-30%
counties,0.7,-30,0.023088659121809893,察雅县,西藏自治区,-30%
counties,0.7,-30,0.019208909914206027,江达县,西藏自治区,-30%
counties,0.7,-30,0.04112356797658058,延长县,陕西省,-30%
counties,0.7,-30,0.042503166134410006,延川县,陕西省,-30%
counties,0.7,-30,0.04086521081944647,龙陵县,云南省,-30%
counties,0.7,-30,0.040735710757124795,昌宁县,云南省,-30%
counties,0.7,-30,0.04207201567217172,施甸县,云南省,-30%
counties,0.7,-30,0.013937812084433057,互助土族自治县,青海省,-30%
counties,0.7,-30,0.015835596443591386,化隆回族自治县,青海省,-30%
counties,0.7,-30,0.011505194559722886,民和回族土族自治县,青海省,-30%
counties,0.7,-30,0.012621464374965616,循化撒拉族自治县,青海省,-30%
counties,0.7,-30,0.03820137052101186,措勤县,西藏自治区,-30%
counties,0.7,-30,0.03554443859691335,靖远县,甘肃省,-30%
counties,0.7,-30,0.03351073540711499,改则县,西藏自治区,-30%
counties,0.7,-30,0.0305034079346432,会宁县,甘肃省,-30%
counties,0.7,-30,0.037916942571957754,景泰县,甘肃省,-30%
counties,0.7,-30,0.03748977384985443,噶尔县,西藏自治区,-30%
counties,0.7,-30,0.03748977384985443,札达县,西藏自治区,-30%
counties,0.7,-30,0.037619539551429784,革吉县,西藏自治区,-30%
counties,0.7,-30,0.032236432532933686,日土县,西藏自治区,-30%
counties,0.7,-30,0.03680245774022851,普兰县,西藏自治区,-30%
counties,0.7,-30,0.041353910914409084,寿县,安徽省,-30%
counties,0.7,-30,0.01770386966717679,边坝县,西藏自治区,-30%
counties,0.7,-30,0.039257531205020985,吉县,山西省,-30%
counties,0.7,-30,0.04493005823648336,泗县,安徽省,-30%
counties,0.7,-30,0.04497120423148245,灵璧县,安徽省,-30%
counties,0.7,-30,0.04567704343172309,萧县,安徽省,-30%
counties,0.7,-30,0.04591202981266566,砀山县,安徽省,-30%
counties,0.7,-30,0.03976765136500412,大宁县,山西省,-30%
counties,0.7,-30,0.04203135236153125,永和县,山西省,-30%
counties,0.7,-30,0.0430647954034486,隰县,山西省,-30%
counties,0.7,-30,0.04219186904033585,汾西县,山西省,-30%
counties,0.7,-30,0.019726781965992493,卡若区,西藏自治区,-30%
counties,0.7,-30,0.020758450924190073,托里县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.036051374855461164,印台区,陕西省,-30%
counties,0.7,-30,0.0399504688894229,隆阳区,云南省,-30%
counties,0.7,-30,0.0383057778134704,东川区,云南省,-30%
counties,0.7,-30,0.03992180879563996,寻甸回族彝族自治县,云南省,-30%
counties,0.7,-30,0.032211840707575885,环县,甘肃省,-30%
counties,0.7,-30,0.02794916294765034,庆城县,甘肃省,-30%
counties,0.7,-30,0.03890254823224528,禄劝彝族苗族自治县,云南省,-30%
counties,0.7,-30,0.02770015507065699,合水县,甘肃省,-30%
