dataset,Province,factor,cost_change_pct,cost_change_label,n,mean_roi,median_roi,roi_gt_003_ratio,roi_gt_003_count,baseline_mean_roi,delta_mean_roi_vs_base
counties,河南省,1.1,10,10%,1,0.027153540802905766,0.027153540802905766,0.0,0,0.02855640351585722,-0.0014028627129514526
counties,河南省,1.2,20,20%,1,0.025799903749073243,0.025799903749073243,0.0,0,0.02855640351585722,-0.0027564997667839757
counties,河南省,1.3,30,30%,1,0.02449294607726748,0.02449294607726748,0.0,0,0.02855640351585722,-0.00406345743858974
counties,海南省,0.7,-30,-30%,2,0.054779294132617555,0.054779294132617555,1.0,2,0.050742028530942174,0.004037265601675381
counties,海南省,0.8,-20,-20%,2,0.05339805778449573,0.05339805778449573,1.0,2,0.050742028530942174,0.0026560292535535573
counties,海南省,0.9,-10,-10%,2,0.052052764242171465,0.052052764242171465,1.0,2,0.050742028530942174,0.0013107357112292911
counties,海南省,1.0,0,0%,2,0.050742028530942174,0.050742028530942174,1.0,2,0.050742028530942174,0.0
counties,海南省,1.1,10,10%,2,0.049464535930967196,0.049464535930967196,1.0,2,0.050742028530942174,-0.0012774925999749775
counties,海南省,1.2,20,20%,2,0.04821903757824293,0.04821903757824293,1.0,2,0.050742028530942174,-0.0025229909526992417
counties,海南省,1.3,30,30%,2,0.04700434639203137,0.04700434639203137,1.0,2,0.050742028530942174,-0.0037376821389108056
counties,甘肃省,0.7,-30,-30%,42,0.030957323232348205,0.031272885732624975,0.6428571428571429,27,0.02601791419024137,0.004939409042106834
counties,甘肃省,0.8,-20,-20%,42,0.02924090925876717,0.029546542693133736,0.38095238095238093,16,0.02601791419024137,0.003222995068525799
counties,甘肃省,0.9,-10,-10%,42,0.027595897024321848,0.02789201387374733,0.23809523809523808,10,0.02601791419024137,0.001577982834080477
counties,甘肃省,1.0,0,0%,42,0.02601791419024137,0.026304909472781822,0.14285714285714285,6,0.02601791419024137,0.0
counties,甘肃省,1.1,10,10%,42,0.024502938859856993,0.024781190325969996,0.047619047619047616,2,0.02601791419024137,-0.0015149753303843778
counties,甘肃省,1.2,20,20%,42,0.02304726510274982,0.023317133582690754,0.0,0,0.02601791419024137,-0.002970649087491551
counties,甘肃省,1.3,30,30%,42,0.021647472476548777,0.021909302336709617,0.0,0,0.02601791419024137,-0.004370441713692594
counties,西藏自治区,0.7,-30,-30%,72,0.027589919590302242,0.03020581426183264,0.5277777777777778,38,0.02201564720598515,0.005574272384317094
counties,西藏自治区,0.8,-20,-20%,72,0.025637409985850155,0.028145196501305314,0.4027777777777778,29,0.02201564720598515,0.0036217627798650065
counties,西藏自治区,0.9,-10,-10%,72,0.02378167834209741,0.02618780805938943,0.2638888888888889,19,0.02201564720598515,0.0017660311361122616
counties,西藏自治区,1.0,0,0%,72,0.02201564720598515,0.024326081365423864,0.09722222222222222,7,0.02201564720598515,0.0
counties,西藏自治区,1.1,10,10%,72,0.020332917315697956,0.02255317089419688,0.0,0,0.02201564720598515,-0.001682729890287192
counties,西藏自治区,1.2,20,20%,72,0.018727687819734336,0.0208628690563382,0.0,0,0.02201564720598515,-0.0032879593862508126
counties,西藏自治区,1.3,30,30%,72,0.017194687552127705,0.019249533578357736,0.0,0,0.02201564720598515,-0.0048209596538574435
counties,陕西省,0.7,-30,-30%,18,0.04163946821480266,0.04181336705549529,1.0,18,0.03767895384877432,0.003960514366028338
counties,陕西省,0.8,-20,-20%,18,0.04028001222628792,0.040452882903585945,1.0,18,0.03767895384877432,0.0026010583775136
counties,陕西省,0.9,-10,-10%,18,0.038960418373245154,0.03913213126356711,1.0,18,0.03767895384877432,0.0012814645244708309
counties,陕西省,1.0,0,0%,18,0.03767895384877432,0.03784939653405421,0.9444444444444444,17,0.03767895384877432,0.0
counties,陕西省,1.1,10,10%,18,0.03643398511156568,0.036603060487227786,0.9444444444444444,17,0.03767895384877432,-0.0012449687372086404
counties,陕西省,1.2,20,20%,18,0.03522397086014911,0.03539159545678298,0.9444444444444444,17,0.03767895384877432,-0.002454982988625211
counties,陕西省,1.3,30,30%,18,0.03404745559696044,0.03421355808988274,0.7222222222222222,13,0.03767895384877432,-0.003631498251813886
counties,青海省,0.7,-30,-30%,42,0.016522992387585356,0.016015283401550937,0.0,0,0.012044333606480166,0.004478658781105191
counties,青海省,0.8,-20,-20%,42,0.014959802568820983,0.014478792854994538,0.0,0,0.012044333606480166,0.0029154689623408173
counties,青海省,0.9,-10,-10%,42,0.013468536933387707,0.013012198892844136,0.0,0,0.012044333606480166,0.0014242033269075416
counties,青海省,1.0,0,0%,42,0.012044333606480166,0.011610838052625465,0.0,0,0.012044333606480166,0.0
counties,青海省,1.1,10,10%,42,0.010682760069836164,0.010270452706998869,0.0,0,0.012044333606480166,-0.0013615735366440014
counties,青海省,1.2,20,20%,42,0.009379766704479667,0.008987147856557746,0.0,0,0.012044333606480166,-0.0026645669020004988
counties,青海省,1.3,30,30%,42,0.008131646248242225,0.007757353327630703,0.0,0,0.012044333606480166,-0.003912687358237941
counties,黑龙江省,0.7,-30,-30%,21,0.06167371520095667,0.06183579653202046,1.0,21,0.056441621489831666,0.005232093711125006
counties,黑龙江省,0.8,-20,-20%,21,0.05987337276675611,0.060032907677742456,1.0,21,0.056441621489831666,0.0034317512769244454
counties,黑龙江省,0.9,-10,-10%,21,0.05813023740128766,0.05828722483935295,1.0,21,0.056441621489831666,0.0016886159114559915
counties,黑龙江省,1.0,0,0%,21,0.056441621489831666,0.05659606780162307,1.0,21,0.056441621489831666,0.0
counties,黑龙江省,1.1,10,10%,21,0.0548050033855423,0.054956921205899144,1.0,21,0.056441621489831666,-0.0016366181042893682
counties,黑龙江省,1.2,20,20%,21,0.053218014777797355,0.05336742206691532,1.0,21,0.056441621489831666,-0.0032236067120343104
counties,黑龙江省,1.3,30,30%,21,0.05167842919821003,0.05182534840697907,1.0,21,0.056441621489831666,-0.004763192291621636
poverty,云南省,0.7,-30,-30%,89,0.03543287966149514,0.03928120560905564,0.7752808988764045,69,0.03196033501403332,0.0034725446474618143
poverty,云南省,0.8,-20,-20%,89,0.03424278119465742,0.03799918462527397,0.7528089887640449,67,0.03196033501403332,0.0022824461806240995
poverty,云南省,0.9,-10,-10%,89,0.0330857223796981,0.03675346044461409,0.7303370786516854,65,0.03196033501403332,0.0011253873656647748
