county_id,county_name,j,k,direct_h2_revenue,sensitivity_h2_revenue,h2_revenue_diff,h2_revenue_diff_pct,direct_pv_revenue,sensitivity_pv_revenue,pv_revenue_diff,pv_revenue_diff_pct,direct_other_revenue,sensitivity_other_revenue,other_revenue_diff,other_revenue_diff_pct,direct_total_revenue,sensitivity_total_revenue,total_revenue_diff,total_revenue_diff_pct
7,马山县,3,0,22024202.24362786,22024202.24362786,0.0,0.0,0,66712189.56403854,66712189.56403854,inf,116728.27189122768,116728.27189122768,0.0,0.0,22140930.51551909,88853120.07955761,66712189.56403852,301.3070725156669
7,马山县,3,1,22024202.24362786,22024202.24362786,0.0,0.0,0,66712189.56403854,66712189.56403854,inf,116728.27189122768,116728.27189122768,0.0,0.0,22140930.51551909,88853120.07955761,66712189.56403852,301.3070725156669
7,马山县,3,2,22024202.24362786,22024202.24362786,0.0,0.0,0,66712189.56403854,66712189.56403854,inf,116728.27189122768,116728.27189122768,0.0,0.0,22140930.51551909,88853120.07955761,66712189.56403852,301.3070725156669
8,广安区,0,0,7388483.069544365,7388483.069544365,0.0,0.0,0,55579863.890647486,55579863.890647486,inf,101976.4590327738,101976.4590327738,0.0,0.0,7490459.528577139,63070323.41922463,55579863.890647486,742.0087336244541
8,广安区,0,1,7388483.069544365,7388483.069544365,0.0,0.0,0,55579863.890647486,55579863.890647486,inf,101976.4590327738,101976.4590327738,0.0,0.0,7490459.528577139,63070323.41922463,55579863.890647486,742.0087336244541
8,广安区,0,2,7388483.069544365,7388483.069544365,0.0,0.0,0,55579863.890647486,55579863.890647486,inf,101976.4590327738,101976.4590327738,0.0,0.0,7490459.528577139,63070323.41922463,55579863.890647486,742.0087336244541
8,广安区,1,0,13833210.568338929,13833210.568338929,0.0,0.0,0,55579863.890647486,55579863.890647486,inf,101976.4590327738,101976.4590327738,0.0,0.0,13935187.027371703,69515050.91801919,55579863.890647486,398.84548217025497
8,广安区,1,1,13833210.568338929,13833210.568338929,0.0,0.0,0,55579863.890647486,55579863.890647486,inf,101976.4590327738,101976.4590327738,0.0,0.0,13935187.027371703,69515050.91801919,55579863.890647486,398.84548217025497
8,广安区,1,2,13833210.568338929,13833210.568338929,0.0,0.0,0,55579863.890647486,55579863.890647486,inf,101976.4590327738,101976.4590327738,0.0,0.0,13935187.027371703,69515050.91801919,55579863.890647486,398.84548217025497
8,广安区,3,0,23089009.59232614,23089009.59232614,0.0,0.0,0,55579863.890647486,55579863.890647486,inf,101976.4590327738,101976.4590327738,0.0,0.0,23190986.051358912,78770849.9420064,55579863.890647486,239.66149506346972
8,广安区,3,1,23089009.59232614,23089009.59232614,0.0,0.0,0,55579863.890647486,55579863.890647486,inf,101976.4590327738,101976.4590327738,0.0,0.0,23190986.051358912,78770849.9420064,55579863.890647486,239.66149506346972
8,广安区,3,2,23089009.59232614,23089009.59232614,0.0,0.0,0,55579863.890647486,55579863.890647486,inf,101976.4590327738,101976.4590327738,0.0,0.0,23190986.051358912,78770849.9420064,55579863.890647486,239.66149506346972
9,汪清县,0,0,12379178.750521112,12379178.750521112,0.0,0.0,0,87899906.11541899,87899906.11541899,inf,170858.45671292162,170858.45671292162,0.0,0.0,12550037.207234034,100449943.32265301,87899906.11541897,700.3955818135114
9,汪清县,0,1,12379178.750521112,12379178.750521112,0.0,0.0,0,87899906.11541899,87899906.11541899,inf,170858.45671292162,170858.45671292162,0.0,0.0,12550037.207234034,100449943.32265301,87899906.11541897,700.3955818135114
9,汪清县,0,2,12379178.750521112,12379178.750521112,0.0,0.0,0,87899906.11541899,87899906.11541899,inf,170858.45671292162,170858.45671292162,0.0,0.0,12550037.207234034,100449943.32265301,87899906.11541897,700.3955818135114
9,汪清县,1,0,15626649.976074483,15626649.976074483,0.0,0.0,0,87899906.11541899,87899906.11541899,inf,170858.45671292162,170858.45671292162,0.0,0.0,15797508.432787405,103697414.54820639,87899906.11541899,556.4162632949417
9,汪清县,1,1,15626649.976074483,15626649.976074483,0.0,0.0,0,87899906.11541899,87899906.11541899,inf,170858.45671292162,170858.45671292162,0.0,0.0,15797508.432787405,103697414.54820639,87899906.11541899,556.4162632949417
9,汪清县,1,2,15626649.976074483,15626649.976074483,0.0,0.0,0,87899906.11541899,87899906.11541899,inf,170858.45671292162,170858.45671292162,0.0,0.0,15797508.432787405,103697414.54820639,87899906.11541899,556.4162632949417
9,汪清县,3,0,32237444.6628154,32237444.6628154,0.0,0.0,0,87899906.11541899,87899906.11541899,inf,170858.45671292162,170858.45671292162,0.0,0.0,32408303.11952832,120308209.23494731,87899906.11541899,271.22649955237245
9,汪清县,3,1,32237444.6628154,32237444.6628154,0.0,0.0,0,87899906.11541899,87899906.11541899,inf,170858.45671292162,170858.45671292162,0.0,0.0,32408303.11952832,120308209.23494731,87899906.11541899,271.22649955237245
9,汪清县,3,2,32237444.6628154,32237444.6628154,0.0,0.0,0,87899906.11541899,87899906.11541899,inf,170858.45671292162,170858.45671292162,0.0,0.0,32408303.11952832,120308209.23494731,87899906.11541899,271.22649955237245
