County_storage,LCOE_storage,NPV_storage,IRR_storage,ROI_storage,poverty_storage,mean_value_day_count
临夏市,0.3101350001319045,-256.78411660985313,0.022266449449252605,0.027212687649108856,,
色尼区,0.2712175691969446,-762.6181978856621,0.007550145228110758,0.021362756729760644,,
繁峙县,0.28090828805617,988.8704557085393,0.06073975255265623,0.042784244620937356,,
宁武县,0.27143144095257665,1270.8744301622653,0.06873014256564777,0.04593884643508273,,
静乐县,0.27175835627866646,1260.7674740178365,0.06844863371215264,0.045826456570253485,,
神池县,0.2678710834936975,1382.7988745341192,0.07182469804166798,0.04718014885365044,,
五寨县,0.27202224980270234,1252.6294025564116,0.06822171101698915,0.04573592479323438,,
岢岚县,0.27392471427981746,1194.4963829789629,0.06659408604958258,0.045088289549298714,,
同心县,0.29282313790675757,-1008.2048913471654,-0.0011893573072763854,0.018806188753437397,,
盐池县,0.2888124687198266,-922.622934824708,0.001796062905799412,0.01972675804751933,,
班戈县,0.25150339772288244,-237.30574143872556,0.023450839462906225,0.026723016524260644,,
巴青县,0.2884717928503972,-1149.505187300435,-0.005716427135710383,0.01725056816883799,,
尼玛县,0.24630669484358192,-80.77767111577859,0.027809735621414984,0.028272812456505408,,
聂荣县,0.2697291596041159,-726.3275679228968,0.008719869214675883,0.021741175428551803,,
安多县,0.26004871642349164,-1103.709306512019,-0.002622880587200245,0.017675899860991284,,
申扎县,0.25045067547123057,-206.27020224973796,0.024327553019109167,0.02703198958045581,,
索县,0.2990327893593467,-1359.2929086653924,-0.01361842232759335,0.014959420811529331,,
鄂伦春自治旗,0.2896822519557503,-87.63100317223567,0.027452260952189885,0.02884861885004581,,
莫力达瓦达斡尔族自治旗,0.28349071604958764,72.54015760373562,0.03207385378525468,0.03050661618073463,,
嘉黎县,0.29364223752458457,-1254.5352983022524,-0.009602415996707832,0.016109019090630707,,
比如县,0.29349712972962877,-1251.6498168327153,-0.009493830947887225,0.01614052769250248,,
汤原县,0.28758497049986065,1766.3821410360486,0.08368636481007878,0.05215549882706984,,
桦川县,0.28390758540820643,1881.8571970976736,0.08681266238372166,0.053445502362684395,,
澜沧拉祜族自治县,0.30065034838371,549.3142477109934,0.047707720202109005,0.03783004025297797,,
西盟佤族自治县,0.30298393037591637,491.9596415257663,0.045932898772004016,0.03716949886617452,,
江城哈尼族彝族自治县,0.3318260745974987,-142.00457126168598,0.025132552809091945,0.029755975467658957,,
孟连傣族拉祜族佤族自治县,0.2980866774152599,613.5050824596734,0.049675712602805115,0.03856734722753875,,
桦南县,0.2908489677574954,1666.6888272058347,0.0809580935604822,0.05103716588621845,,
景谷傣族彝族自治县,0.3051111184167138,440.5470746997061,0.044328394671406965,0.03657597639237503,,
镇沅彝族哈尼族拉祜族自治县,0.3133241331339291,249.46808483554392,0.03824679563914154,0.03435830505931472,,
五台县,0.28425274511341386,894.5060991021011,0.05799970525173166,0.04171991669296139,,
墨江哈尼族自治县,0.3168989559030343,169.7989774837016,0.035652789822483884,0.033428131022402253,,
代县,0.2804532100692986,1001.9108031121003,0.06111568556850755,0.04293097921812763,,
景东彝族自治县,0.31828505894911424,139.452533988397,0.03465518638021312,0.03307296038246896,,
宁洱哈尼族彝族自治县,0.3141485305933844,230.91320395743966,0.03764583642335294,0.034141960263001876,,
和田市,0.3070101440552145,-1397.5153285485762,-0.02588805367057233,0.014439997977623664,,
木里藏族自治县,0.2843708857444803,2499.131868888643,0.10420666537928995,0.06079254779416067,,
盐源县,0.2915259195865216,2260.5894473442213,0.09794035694664605,0.05813979435225395,,
布拖县,0.31865263080710615,1466.2209013433517,0.07608830021596948,0.04914022573802761,,
普格县,0.3101100693531981,1699.3663674311406,0.08267546996674556,0.05180837818612012,,
