name,ROI_优化模型,ROI_直接计算,j,k,差异,相对差异(%)
威宁彝族回族苗族自治县,0.0259610585041412,0.025961058504141276,2,1,-7.632783294297951e-17,-2.940089400854121e-13
会泽县,0.0299698586838544,0.029969858683854468,2,1,-6.938893903907228e-17,-2.315290831733347e-13
赫章县,0.0179287070426568,0.01792870704265683,2,1,-3.122502256758253e-17,-1.7416215510293336e-13
合作市,0.0317774644493617,0.03177746444936176,2,1,-6.245004513516506e-17,-1.9652305876915028e-13
师宗县,0.0227771196951878,0.02277711969518783,2,1,-2.7755575615628914e-17,-1.2185726723600127e-13
罗平县,0.0201794592445424,0.020179459244542463,2,1,-6.245004513516506e-17,-3.094733331471936e-13
德保县,0.0294111819565685,0.0294111819565685,2,1,0.0,0.0
凌云县,0.0267225412908299,0.026722541290829904,2,1,-3.469446951953614e-18,-1.2983222344740798e-14
那坡县,0.0279496796597948,0.027949679659794856,2,1,-5.551115123125783e-17,-1.9861104637671281e-13
田东县,0.0299262461006352,0.029926246100635222,2,1,-2.0816681711721685e-17,-6.955994962321661e-14
平武县,0.0228180445246937,0.022818044524693704,2,1,-3.469446951953614e-18,-1.5204839083379717e-14
北川羌族自治县,0.0164885198858457,0.016488519885845786,2,1,-8.673617379884035e-17,-5.260397804007693e-13
田林县,0.0306928281571639,0.03069282815716399,2,1,-9.020562075079397e-17,-2.9389804122608734e-13
乐业县,0.0287962108830735,0.028796210883073513,2,1,-1.3877787807814457e-17,-4.819310382246109e-14
柞水县,0.0199686406998126,0.01996864069981269,2,1,-9.020562075079397e-17,-4.517364106393086e-13
西林县,0.0174192309560859,0.017419230956085975,2,1,-7.632783294297951e-17,-4.381814164781591e-13
易县,0.0448642805242659,0.044864280524265984,2,1,-8.326672684688674e-17,-1.855969289462913e-13
曲阳县,0.0430834274949855,0.04308342749498556,2,1,-6.245004513516506e-17,-1.4495143206151265e-13
望都县,0.0419754772571521,0.04197547725715213,2,1,-2.7755575615628914e-17,-6.612331158402657e-14
隆林各族自治县,0.0323331818920645,0.03233318189206456,2,1,-5.551115123125783e-17,-1.7168477700885286e-13
顺平县,0.0431332718762512,0.04313327187625129,2,1,-9.020562075079397e-17,-2.0913233990130067e-13
武乡县,0.0338224449785504,0.0338224449785504,2,1,0.0,0.0
镇安县,0.0169305618896617,0.01693056188966171,2,1,-1.0408340855860843e-17,-6.147664161232874e-14
山阳县,0.0179935320998387,0.017993532099838793,2,1,-9.367506770274758e-17,-5.206041103157664e-13
商南县,0.0185308324116228,0.01853083241162288,2,1,-7.979727989493313e-17,-4.306189712496823e-13
丹凤县,0.0201944241461292,0.02019442414612921,2,1,-6.938893903907228e-18,-3.436044451526116e-14
洛南县,0.0231217303424215,0.023121730342421553,2,1,-5.204170427930421e-17,-2.250770314703612e-13
涞源县,0.0515272062349451,0.05152720623494513,2,1,-3.469446951953614e-17,-6.733233189733226e-14
贵定县,0.008786754004518,0.00878675400451806,2,1,-6.071532165918825e-17,-6.909869290521739e-13
红河县,0.0257997924209839,0.025799792420983923,2,1,-2.42861286636753e-17,-9.413303900818402e-14
荔波县,0.009832023491127,0.009832023491127096,2,1,-9.540979117872439e-17,-9.703983240563544e-13
元阳县,0.0206897598776038,0.020689759877603842,2,1,-4.163336342344337e-17,-2.0122690485407935e-13
瓮安县,0.0075662589754841,0.0075662589754841745,2,1,-7.45931094670027e-17,-9.858651376948064e-13
泸西县,0.026593676056974,0.026593676056974026,2,1,-2.7755575615628914e-17,-1.0436908216887972e-13
平塘县,0.0109405974016411,0.010940597401641184,2,1,-8.326672684688674e-17,-7.610802572297928e-13
石屏县,0.0307790120759177,0.0307790120759177,2,1,0.0,0.0
独山县,0.0103164015528396,0.010316401552839648,2,1,-4.85722573273506e-17,-4.708255788471205e-13
长顺县,0.0111692939748362,0.011169293974836281,2,1,-8.153200337090993e-17,-7.299655963447325e-13
屏边苗族自治县,0.0176528228784452,0.017652822878445273,2,1,-7.28583859910259e-17,-4.1272937757727456e-13
罗甸县,0.0131794091248686,0.013179409124868646,2,1,-4.683753385137379e-17,-3.5538417092610437e-13
安化县,0.0231486626361167,0.023148662636116746,2,1,-4.5102810375396984e-17,-1.9483981033542379e-13
郧阳区,0.0386991434119489,0.03869914341194898,2,1,-8.326672684688674e-17,-2.1516426335466847e-13
平顺县,0.0297014712318284,0.02970147123182848,2,1,-7.979727989493313e-17,-2.686644014099252e-13
壶关县,0.0305197033830535,0.030519703383053542,2,1,-4.163336342344337e-17,-1.36414705283672e-13
武冈市,0.0249401793348517,0.02494017933485171,2,1,-1.0408340855860843e-17,-4.173322379168341e-14
涞水县,0.0460331334578935,0.046033133457893546,2,1,-4.85722573273506e-17,-1.0551586146482856e-13
唐县,0.044159679047055,0.044159679047055034,2,1,-3.469446951953614e-17,-7.856594583164182e-14
阜平县,0.0459947419755751,0.04599474197557518,2,1,-8.326672684688674e-17,-1.8103531680013398e-13
玛曲县,0.0338323117188492,0.033832311718849296,2,1,-9.71445146547012e-17,-2.8713531449457e-13
绥滨县,0.0486697277926527,0.04866972779265275,2,1,-4.85722573273506e-17,-9.979973081888313e-14
碌曲县,0.033327030390824,0.03332703039082406,2,1,-6.245004513516506e-17,-1.8738556781932613e-13
靖宇县,0.0440599732085426,0.04405997320854267,2,1,-6.938893903907228e-17,-1.5748747442637718e-13
舟曲县,0.0177515028964942,0.017751502896494242,2,1,-4.163336342344337e-17,-2.345343020599432e-13
迭部县,0.025032750327557,0.02503275032755703,2,1,-3.122502256758253e-17,-1.2473668358050454e-13
临潭县,0.0287775450017208,0.02877754500172087,2,1,-7.28583859910259e-17,-2.5317790654716735e-13
卓尼县,0.0277099922985906,0.027709992298590648,2,1,-4.85722573273506e-17,-1.7528787739800643e-13
夏河县,0.0327765552200517,0.032776555220051795,2,1,-9.71445146547012e-17,-2.963841502027976e-13
维西傈僳族自治县,0.0272803856710421,0.02728038567104215,2,1,-4.85722573273506e-17,-1.780482794966845e-13
德钦县,0.0315235106527544,0.03152351065275444,2,1,-4.163336342344337e-17,-1.3207083399451756e-13
崆峒区,0.0250285889120188,0.025028588912018822,2,1,-2.0816681711721685e-17,-8.31716154070733e-14
